On day 1, price is $11.23
On day 2, price is $11.25
On day 3, price is $11.60
On day 4, price is $13.53
On day 5, price is $14.46
On day 6, price is $14.33
On day 7, price is $14.09
On day 8, price is $15.57
On day 9, price is $14.80
On day 10, price is $16.87
On day 11, price is $16.77
On day 12, price is $16.42
On day 13, price is $18.52
On day 14, price is $20.88
On day 15, price is $20.28
On day 16, price is $19.28
On day 17, price is $18.45
On day 18, price is $21.48
On day 19, price is $22.32
On day 20, price is $22.99
On day 21, price is $25.30
On day 22, price is $24.93
On day 23, price is $24.07
On day 24, price is $26.10
On day 25, price is $27.79
On day 26, price is $28.71
On day 27, price is $28.52
On day 28, price is $27.78
On day 29, price is $30.68
On day 30, price is $29.58
On day 31, price is $30.79
On day 32, price is $35.78
On day 33, price is $35.33
On day 34, price is $36.19
On day 35, price is $34.42
On day 36, price is $37.59
On day 37, price is $38.17
On day 38, price is $36.39
On day 39, price is $41.63
On day 40, price is $40.21
On day 41, price is $45.75
On day 42, price is $44.57
On day 43, price is $45.81
On day 44, price is $45.48
On day 45, price is $53.08
On day 46, price is $55.18
On day 47, price is $62.93
On day 48, price is $60.28
On day 49, price is $60.45
On day 50, price is $59.83
On day 51, price is $64.83
On day 52, price is $64.89
On day 53, price is $67.83
On day 54, price is $69.86
On day 55, price is $68.44
On day 56, price is $67.73
On day 57, price is $64.55
On day 58, price is $65.79
On day 59, price is $63.85
On day 60, price is $63.52
On day 61, price is $62.13
On day 62, price is $59.09
On day 63, price is $59.33
On day 64, price is $60.67
On day 65, price is $63.48
On day 66, price is $67.82
On day 67, price is $72.41
On day 68, price is $69.56
On day 69, price is $66.21
On day 70, price is $67.35
On day 71, price is $75.34
On day 72, price is $87.70
On day 73, price is $84.66
On day 74, price is $81.81
On day 75, price is $90.12
On day 76, price is $87.79
On day 77, price is $89.12
On day 78, price is $95.45
On day 79, price is $91.98
On day 80, price is $106.41
